SensorID,Temperature (Â°C),TDS (ppm),Turbidity (NTU),pH Value,Dissolved Oxygen (mg/L),Electrical Conductivity (ms/cm)
251003174919464,24.44,229.52,31.25
251003174925483,24.44,228.82,31.03
251003174932115,24.44,231.98,31.03
251003174938396,24.44,239.0,31.18
251003174944261,24.44,218.79,31.18
251003174950874,24.44,228.34,31.1
251003174956494,24.5,222.63,30.96
251003175002718,24.44,227.61,31.03
251003175008834,24.44,227.81,31.76
251003175015842,24.5,225.2,31.03
251003175021953,24.5,234.38,31.03
251003175027308,24.5,230.92,31.18
251003175033549,24.56,230.87,33.97
251003175039163,24.62,227.89,31.03
251003175045500,24.75,224.68,28.9
251003175051547,24.75,224.0,29.04
251003175057646,24.69,226.03,28.46
251003175104201,24.69,223.13,28.24
251003175110757,24.69,227.71,28.09
251003175116089,24.69,227.95,28.24
251003175122609,24.69,223.72,29.49
251003175128446,24.69,223.52,29.63
251003175134084,24.69,229.89,29.71
251003175141391,25.0,227.33,34.56
251003175147299,24.69,225.27,38.53
251003175153024,24.69,231.68,40.96
251003175159634,24.62,229.9,42.35
251003175205362,24.69,226.73,42.87
251003175211000,24.69,229.41,43.09
251003175217712,24.69,227.93,43.6
251003175223948,24.69,231.05,43.82
251003175230114,24.69,229.7,43.97
251003175236124,24.69,230.94,44.63
251003175242752,24.69,232.06,44.63
251003175248397,24.69,229.85,44.85
251003175254179,24.69,225.07,45.22
251003175300209,24.69,226.42,45.15
251003175306815,24.69,233.17,45.15
251003175313507,24.69,232.54,45.37
251003175319074,24.69,222.75,45.51
251003175325116,24.69,231.05,45.88
251003175331736,24.75,231.15,46.69
251003175337906,24.69,225.83,46.32
251003175343877,24.69,229.44,46.54
251003175349287,24.69,230.96,46.62
251003175355984,24.69,228.04,46.69
251003175402724,24.69,229.06,46.69
251003175408016,24.69,220.87,46.54
251003175414018,24.69,230.66,47.06
251003175420216,24.69,230.92,46.99
251003175426316,24.69,226.4,47.5
251003175432979,24.69,226.47,47.21
251003175438731,24.69,226.42,47.28
251003175445283,24.69,228.04,47.43
251003175451150,24.69,224.63,47.28
251003175457933,24.69,232.58,47.5
251003175503297,24.69,228.5,47.57
251003175509998,24.75,226.79,47.35
251003175515982,24.69,230.35,47.43
251003175521780,24.75,232.22,47.72
251003175528604,24.69,225.24,47.28
251003175534546,24.69,229.26,47.5
251003175540712,24.69,223.67,47.65
251003175546642,24.69,224.15,47.79
251003175552297,24.69,224.04,48.09
251003175558650,24.69,223.56,47.79
251003175604687,24.69,228.34,47.57
251003175611711,24.69,227.25,47.65
251003175617695,24.69,226.29,47.28
251003175623002,24.69,229.74,47.43
251003175629857,24.69,229.87,47.43
251003175635005,24.69,225.24,47.21
251003175641686,24.69,230.57,47.35
251003175647246,24.69,221.53,47.13
251003175653444,24.69,226.99,47.79
251003175700804,24.69,233.26,47.43
251003175706162,24.69,230.81,47.94
251003175712415,24.69,226.6,47.72
251003175718977,24.69,230.85,48.09
251003175724671,24.69,228.19,47.87
251003175730189,24.69,227.43,48.09
251007153748431,24.69,2.31,132.21
